rasm,val
4223,1
124310,1
22,1
2,1
26662752206,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
222,1
22,1
222,1
222,1
2226,1
2222,1
222227,1
222227,1
22322,1
2222,1
22223,1
22332203,1
222,1
322222,1
2222,1
23,1
02222,1
4222227,1
3322236,1
2222336,1
22022336,1
32226,1
24122337,1
4222,1
22226,1
66666,1
2622,1
422222,1
22226,1
212222,1
4222,1
222,1
422222346,1
442222,1
32222,1
0222,1
3222227,1
622,1
6666,1
666,1
2222422,1
25743464-3,2
414-433,2
3464-44,2
434-43,2
4536-,2
4-26,2
4-354,2
4-22473,2
54-43,2
4135-4,2
4225-335,2
524-243,2
545,2
6-464,2
45353,2
6-555,2
6445,2
65-43,2
66-5-546,2
74351545,3
2+4,3
2+56,3
2244+4,3
3+46,3
4+476444321,3
35654,3
42+1463,3
5+65,3
5+57,3
4547462+45,3
55+4+6,3
654+57,3
6535,3
665353553,3
774374,3
653+4,3
11+07,4
0340221+30,4
32+455,4
5353+4525,4
5543+5,4
635244432,5
4+5647534753532,5
4740-40372,6
5345-34546443,6
534534-2444254,6
5354435-454744,6
4534453444644,7
7245-45,7
5706747474,8
2523464336,10
31,10
444515252431,10
35334754,10
152434323,10
3644,10
36655,10
36754+,10
7335440,10
377544,10
3775450,10
37755,10
3424224223,10
5706655535,10
532754,10
377644+,10
77254,10
7775444,10
777554+40,10
7654,10
705555550,12
7-55544,12
33154655444,12
554,12
357544,12
355435444447,12
54755554,12
555555346,12
665445,12
6554447,12
6554,12
655535,12
32755425555444,12
66544,12
664574440,12
6775660555,12
672755454,12
2755444,12
76654544,12
76654450,12
755354440,12
44726645444347,12
77765554,12
766555,12
31515141514242,14
425414755,14
2664346434,14
35435444,14
45555664535753,14
5223534254,14
54354344,14
435443414345454,14
5435553254444322,14
5444355,14
6664363354,14
555555535,14
624244214,14
654544,14
65543403476544433,14
655346434,14
6654345476443,14
6543555343543435336,14
2534535427242,18
64444244222,18
35535423440413530,20
544424,20
2254433342,22
2252243,22
357475137,22
3114332654,22
42414743,22
23613531+54766,22
35654,22
54313513351353432,22
3607014+,22
40404+717572,22
44242634,22
43414124321,22
5243424,22
5342515033,22
53543512627,22
35305322+403,22
4343215204004,22
44345141340,22
3352+157,23
243+265443,23
3+6665,23
353535+534,23
43645461+65535353,23
4353442+4254,23
2424144+2+4,23
4666454,23
43+35055534544,23
43+76647665,23
5443436644,23
576776455,23
27432523415,25
353744+53644,25
5554546366666653542,26
722022322301111,26
3424431244014,26
342046202202,26
243433152,26
4432223101111,26
54546766664,26
54546766,26
55545576665,26
55554677765543,26
5555555666654,26
555567076666,26
55566666,26
555564465504755105765,26
6655557346,26
66665564620,26
20220242,28
424352332,28
324+52022,28
4044202227,28
6602674664435,28
766455,28
67626543,28
6662545,28
665463,28
6665644,28
6666464,28
66665365,28
666654,28
66667544,28
6667654,28
677606644,28
6776655,28
677664,28
132524333247,28
45422355,28
7664,28
7263644+44,28
360766746444,28
645436456,29
31533551434,29
3544732444,29
433564,29
3553,29
3466364,29
422431413,29
4334,29
4543,29
4055,29
4544477456,29
465547444,29
463465706677,29
4564453,29
46435450755,29
545334541,29
67564643,29
454365156,29
5435,29
5345424,29
54354,29
45574566,29
5565704063,29
35666,29
443575666,29
644654667,29
7567554456766,29
6544+4,30
3244+53,30
674443+322,30
5534+56,30
5434+5+5,30
54+42+54,30
44442+26,30
4404552,30
45+44,30
632544,30
5352544+,30
75443332+26,30
643+5,30
674243+,30
6664444+0,30
1414213467,30
05774433+3+,30
40404+717572,30
76655353+37,30
7654+4443,30
4575443+36,30
532544464440,31
231346555544032,31
25535354444,31
3353457005541440323,31
335525544321,31
245345445325,31
4256445435555,31
35144334414,31
3720554345450,31
471404435535446543,31
52453345,31
4553353443453245440,31
425425723546,31
64524442,31
5736035505,31
346147427544440,31
4236345324553544,31
5435653350+54440,31
51453444245,31
34353574357555450,31
5347425444444,31
7435154557751427572347533212,31
53473532164655444347,31
6574162655444,31
5347336554441,31
46346542544,31
355345434534443,31
201103,33
41312,33
1+77+1,33
21135652,33
263446443624524,33
25345434464624,33
634643555,33
355434462,33
355466,33
3755631,33
335,33
5732451,33
465564,33
604332424142332,33
645536,33
42724442,34
3310,34
56755,34
56765,34
5-432+2+,35
43-31534,35
25644-34,35
555345-27-,35
345-6,35
4-33,35
3456-,35
4-32312,35
3414-4-35,35
44-0-,35
424-342,35
414-22464225,35
46775346-,35
75-444226,35
54-4-334,35
4-742,35
55435-,35
5-42,35
55754-447,35
10256534566074,35
4046506-7014,35
6614435-34,35
6535-4432,35
464-43244,35
644-3,35
2565-33,35
65-5424,35
7755-432,35
5247575544440,36
770535463322,36
65443,37
4223,1
124347,1
2,1
2,1
20322226,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
