origin,nearest,distance,midpoint,nearest_vertical,distance_vertical,midpoint_vertical
0,20,2,9,4,12.369316876853,0
1,2,3,9,18,12.369316876853,0
2,7,9.21954445729289,0,18,12,0
3,4,3.16227766016838,6,19,11,0
4,7,6.70820393249937,8,20,12.0415945787923,0
5,8,5,4,13,8.24621125123532,0
6,10,3.60555127546399,6,17,9.48683298050514,0
7,3,3.60555127546399,6,19,9.48683298050514,0
8,12,6.70820393249937,0,12,6.70820393249937,0
9,10,3.60555127546399,6,24,7.28010988928052,1
10,13,7.21110255092798,7,16,8.54400374531753,0
11,21,4.12310562561766,6,21,4.12310562561766,6
12,13,3.16227766016838,5,5,9.05538513813742,1
13,9,3.60555127546399,7,30,15.2643375224737,5
14,15,2.23606797749979,7,29,9.05538513813742,1
15,12,3.60555127546399,7,8,8,0
16,17,3.16227766016838,6,30,9.05538513813742,0
17,24,7.28010988928052,8,31,10.0498756211209,0
18,32,9.89949493661167,0,52,16.1245154965971,0
19,20,4,5,33,11.180339887499,0
20,21,8.06225774829855,1,3,11.7046999107196,0
21,25,4,7,25,4,7
22,23,2.23606797749979,7,26,2.23606797749979,8
23,14,3.60555127546399,7,28,6.32455532033676,5
24,16,4.12310562561766,6,30,8.54400374531753,0
25,27,3.16227766016838,6,27,3.16227766016838,6
26,22,2.23606797749979,8,28,3.16227766016838,9
27,28,4,9,34,4,4
28,26,3.16227766016838,9,22,5,8
29,35,2,9,35,2,9
30,31,3,6,49,4,9
31,38,2.82842712474619,9,50,5,6
32,51,6.32455532033676,5,51,6.32455532033676,5
33,39,3.16227766016838,6,39,3.16227766016838,6
34,42,3.16227766016838,6,42,3.16227766016838,6
35,36,3.16227766016838,9,44,4,6
36,45,2.23606797749979,9,45,2.23606797749979,9
37,30,3.60555127546399,4,24,10,0
38,50,3.60555127546399,8,16,11.7046999107196,0
39,52,2,7,52,2,7
40,41,3.16227766016838,6,19,13,0
41,39,7.07106781186548,6,20,12.0415945787923,0
42,43,4.12310562561766,8,27,7.07106781186548,4
43,53,2.23606797749979,9,35,5.8309518948453,0
44,45,2.23606797749979,9,53,2.23606797749979,9
45,35,3.60555127546399,9,29,5.3851648071345,9
46,47,3.16227766016838,8,14,14.8660687473185,0
47,48,2.23606797749979,6,24,14.8660687473185,0
48,37,4.24264068711929,3,24,13.3416640641263,0
49,50,3.16227766016838,8,24,12.369316876853,0
50,31,5,6,30,5.8309518948453,7
51,54,4.47213595499958,8,54,4.47213595499958,8
52,56,3.60555127546399,4,33,5.09901951359278,6
53,44,2.23606797749979,9,35,6.08276253029822,5
54,57,2.82842712474619,9,32,10,3
55,58,2,9,58,2,9
56,60,3.60555127546399,6,39,5.3851648071345,3
57,55,2.23606797749979,7,32,12.1655250605964,0
58,57,2.23606797749979,9,32,13.6014705087354,0
59,58,3,9,32,14.7648230602334,0
60,59,3.16227766016838,6,33,10.770329614269,0
