rasm,val
-34232224,1
-122,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
3,1
3,1
6,1
6,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
23,1
23,1
23,1
26,1
26,1
26,1
26,1
26,1
26,1
32,1
33,1
33,1
37,1
62,1
62,1
62,1
62,1
62,1
62,1
62,1
62,1
62,1
62,1
62,1
66,1
66,1
66,1
66,1
66,1
66,1
66,1
67,1
220,1
221,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
222,1
223,1
223,1
223,1
223,1
223,1
223,1
223,1
226,1
226,1
226,1
226,1
226,1
226,1
226,1
226,1
226,1
226,1
226,1
226,1
227,1
227,1
227,1
227,1
232,1
232,1
233,1
237,1
262,1
262,1
262,1
262,1
266,1
272,1
272,1
272,1
272,1
273,1
322,1
322,1
322,1
322,1
322,1
322,1
322,1
323,1
323,1
432,1
622,1
622,1
626,1
626,1
626,1
626,1
626,1
627,1
662,1
662,1
662,1
665,1
666,1
666,1
666,1
666,1
666,1
666,1
666,1
666,1
666,1
666,1
666,1
666,1
666,1
666,1
667,1
667,1
672,1
700,1
722,1
722,1
766,1
776,1
777,1
777,1
1002,1
2022,1
2022,1
2022,1
2022,1
2022,1
2022,1
2022,1
2023,1
2026,1
2200,1
2222,1
2222,1
2222,1
2222,1
2222,1
2222,1
2222,1
2222,1
2222,1
2223,1
2223,1
2224,1
2226,1
2226,1
2226,1
2226,1
2226,1
2226,1
2226,1
2226,1
2226,1
2226,1
2226,1
2227,1
2227,1
2232,1
2234,1
2236,1
2262,1
2262,1
2262,1
2262,1
2262,1
2262,1
2273,1
2337,1
2372,1
2622,1
2627,1
2637,1
2637,1
2667,1
2720,1
2722,1
2723,1
