chaincode,huruf
570755-,د
43B055-,ڠ
-5555-43+,ر
-02211-11177154575-,ک
+4363A24111-,ن
3564-53B,ت
53647555-535-44,و
666,ا
153555544535+44443b+73,ن
56-0555a5554-45+54+,س
+4425355-54-4+,و
66,ا
+3213A,ت
354A5745-,ف
-555543+3,ر
554544b44444444444+3,ي
675355-,م
32+21-42522,ا
11114-46554433,س
463754,د
35a505-,ج
53467555-444,و
36436660444-,ه
-55555432,ر
6734115a04-,ج
-43+222,ا
765,د
5b354+722,ي
65,د
6A53+,ن
4352+22A54+,ݢ
-5555555533,ر
4544b444-43,ي
p01v1-line3,
,ا
64A5b+,ن
+362245,ل
+45+,ه
555555-555B444,ش
-4+432544b-,ع
-35655-55544-4+4-4,ي
675,ر
66,د
5555554+7,ر
6754-3+45665,ي
665,ا
5B667544+,ڠ
33+2621-515-,ک
+4+5465655-5+444,و
15+3A+,ف
+35B55-,ت
5555444+444,ر
4b44444444-444433,ي
570554A-,ف
-4+3354B57754-,ڠ
-534+54724436313261-11,ک
631326,ل
665A5A55-4433,ث
2+75757-60654-,ه
045b04+43+,ي
+43632622504-,ل
-535B750+5766+7745-5,ڠ
,ت
,ء
6-75,د
66,ا
0A7-,ف
-645A54-43,ت
765,د
06055-034+,چ
-034+0262+2,ا
55645-7,ر
5355b444-4433+6,ي
p01v1-line4,
674155-,م
-2+2121,ا
-1054675+55-35473,س
75,د
6a2,ب
45a-,ي
4A+5-4+,ن
+32B-,ت
-56555A44443,ن
,د
,ا
55543+,ر
15-4b3,ي
7A55c54-4+,ف
325-053+76224-,ط
-13+222,ا
1A06,ن
7545b5444-44433+326,ي
4A675454-,ق
-535b+,ي
32413455764+,ص
+1335-6-7+4+5+62725-,ه
-465A0055-432A,ث
6B4-,ت
-5554+527,ر
5-555555555444+,س
+45a5455-,ب
5455-443+,و
+221B07,ت
765,د
5a-64+,ب
+3162222,ا
60565555-4432-,و
-2006,ه
666,ا
5b20255,ي
A-5554444-444473+36,ن
p01v1-line5,
544A5-,ف
-55534+357-7,ر
6+6,ا
50B,ڠ
575-75543+,م
+35252+253+,ل
+633+3-,ا
15156+655054,ک
75,د
,غ
7B6655A5-4433,ن
5B55A44-,ف
111432,ر
5B55A44-,غ
+433+343+5362156+,ݢ
+076555b5+54444+44-444443332,ي
564-054444+,س
11-1110175-,ک
-16711,ل
-346565-,ي
-0-75403+221,ن
6+476454-,م
04+342256-,ل
-3+363654,ا
5-336b,ي
46055555-43+3,و
64A55-,ت
-74a4+,ي
+0727222,ا
,د
66,ا
,ي
,غ
26675-,ل
-05222,ا
252555-54b43+3,ر
53+6235655545b+444-44437,ي
p01v1-line6,
66,ا
6+57750-5505-,چ
-34+534b64-,ي
-4546,ه
60415-,م
+3436224-,ل
-34546765-3+,غ
+12A71-117161-17+,ݢ
76065555-54754+40373+326,ر
262251115454,ک
54C-432+,ت
+222,ا
654+3A,ن
3555,ه
41a5-,ب
415b-,ي
-2454A44-,ن
-5A655A,ت
5555544444444443+73,ن
254a-,ب
-555554+75370,ر
64A5,ف
675455-55534+6,ر
66,ا
750414-3+,ڠ
+32522244-,ل
44-5,ه
66,ا
6+4706b51404-,ج
-3+5b3+64+,ي
+43755,ه
675,د
64a+,ب
+222,ا
60606555-4432,و
13117,ه
76650,د
44-5555555544+,س
+46a43555-,ب
-543+212,و
+212B17,ة
261-14-655,ک
-655A5-443+2,ن
p01v1-line7,
6B5454-,ت
-44C4+,ت
+333663,ا
5A760,ف
5667b50000425,ي
63467,ف
5555-5545272+,ر
+34116222111-,ک
-1055-443+,ت
+426221717b1,أ
5A-,ن
-6505B54-432,ث
66,
7-65,
25-6405-,
-65755543,
73A10653,
5-43B,
54676554443,
555555555554444+,
+4-44655A54-43+22,
64-44,
-44a-4+,
+35644a-4444277,
24A-,
-53+56453,
574A67+0444+,
+44755,
6B54-432,
65577506504a-,
-4+4a,
272722,
6664,
457,
7650,
66,
750554-,
-43+34262224,
b3-46655,
A55444-4443+36,
p01v1-line8,
4A375555-,ف
-5555472,ر
66+6,ا
,غ
666,ا
4656b0501-,ج
-4b3+4-,ي
+4-1456,ه
4a,ب
a-3155-,ب
-554-444,ر
66,ا
